file;title;artist;location;date;image
virtual insanity MTK.mp3;Virtual Insanity;Jamiroquai;Schloß Cafe Bar Sierning;11. Juli 2026;band-2.jpg
sweet child of mine MTK.mp3;Sweet Child O' Mine;Guns N' Roses;Schloß Cafe Bar Sierning;11. Juli 2026;band-5.jpeg
under pressure MTK.mp3;Under Pressure;Queen;Schloß Cafe Bar Sierning;11. Juli 2026;band-1.jpg
